egc,9953208,9925,57,171
egd,9886822,9005,281,442
ege,9958204,8861,25,82
egf,9876261,10827,33,63
egg,9985974,8376,291,472
faa,9829414,7075,6,14
fab,9875261,9660,73,128
fac,9837582,8408,5,5
fad,9970670,9127,238,402
fae,9767272,9584,130,314
faf,9699075,8498,124,244
fag,9808863,9814,19,45
fba,9891980,9029,156,291
fbb,9926929,8701,104,223
fbc,9971115,8803,39,56
fbd,9992364,9830,54,91
fbe,9752445,7579,46,119
fbf,9823804,7845,91,201
fbg,9914248,10354,17,37
fca,9916560,8017,391,771
fcb,9894719,8648,63,110
fcc,9731657,9437,10,34
fcd,9923085,8773,56,123
fce,9956032,9094,85,211
fcf,9998276,9851,351,565
fcg,9942638,7734,11,40
fda,9578364,9798,75,169
fdb,9876021,9538,81,180
fdc,9699262,7659,69,177
fdd,9872385,8387,349,566
fde,9910248,11066,123,250
fdf,9777639,10675,82,271
fdg,9954395,8969,64,153
fea,9772442,8666,175,296
feb,9896363,7134,10,31
fec,9746385,8235,269,473
fed,9932968,8792,60,243
fee,9761995,8147,183,298
fef,9452137,7895,67,144
feg,9993703,10036,89,177
ffa,9906000,9843,47,183
ffb,9638949,9090,99,204
ffc,9957113,8200,77,120
ffd,9939946,9766,353,616
ffe,9555750,9295,139,320
fff,9850348,7473,22,56
ffg,9887267,9864,139,215
fga,9924536,9824,62,95
fgb,9816298,9673,5,14
fgc,9942276,8987,63,112
fgd,9930306,10006,10,38
fge,9587847,9239,43,77
fgf,9969527,8331,342,582
fgg,9898764,7846,94,141
gaa,9839888,8483,51,136
gab,9993698,8323,138,306
gac,9938195,8800,75,178
gad,9620750,7585,5,11
gae,9945273,9316,101,298
gaf,9996148,8478,62,218
gag,9903775,7293,124,304
gba,9885928,7950,142,312
gbb,9696135,9657,111,190
gbc,9983227,9569,155,284
gbd,9764086,8454,151,274
gbe,9902441,8370,27,82
gbf,9930477,8528,150,320
gbg,9813542,8818,93,143
gca,9442970,10073,6,26
gcb,9920363,9161,501,895
gcc,9992023,10627,139,214
gcd,9947728,8749,30,61
gce,9930667,8888,196,286
gcf,9707041,8841,154,299
gcg,9541709,8708,34,152
gda,9891088,8282,52,129
gdb,9863840,9304,184,364
gdc,9522852,9745,39,81
gdd,9941153,7259,6,18
gde,9951412,10266,32,58
gdf,9963560,8078,12,39
gdg,9960044,8553,217,312
gea,9943803,7258,185,300
geb,9797294,8911,215,391
gec,9983364,7649,38,67
ged,9916993,7591,22,63
gee,9796206,9541,94,193
gef,9815378,9184,13,23
geg,9963815,9205,308,503
gfa,9643128,9878,9,33
gfb,9804184,8937,289,442
gfc,8581043,8487,242,452
gfd,9501231,9867,20,73
gfe,9867544,9005,225,392
gff,9730908,7543,168,371
gfg,9841467,8742,108,186
gga,9743021,11003,227,348
ggb,9974024,8616,5,11
ggc,9838108,8232,110,231
ggd,9899260,8951,572,1154
gge,9915822,10961,5,6
ggf,9940118,9859,92,295
ggg,9777563,9848,85,177
